Delay Code,Category,Description
EUAC,Mechanical/Electrical/Vehicle Equipment,Train HVAC malfunction or underperformance
EUAL,Mechanical/Electrical/Vehicle Equipment,Issues with onboard or wayside AC power systems
EUATC,Mechanical/Electrical/Vehicle Equipment,ATC equipment malfunction related to Rail Cars & Shops
EUBK,Mechanical/Electrical/Vehicle Equipment,Faulty brake components or pneumatic issues
EUBO,Mechanical/Electrical/Vehicle Equipment,Structural or body-related train car problems
EUCA,Mechanical/Electrical/Vehicle Equipment,Problems with compressed air supply for brakes or doors
EUCD,Mechanical/Electrical/Vehicle Equipment,Secondary delay from unresolved mechanical/electrical fault
EUCH,Mechanical/Electrical/Vehicle Equipment,Older DC propulsion (chopper) control circuit failure
EUCO,Mechanical/Electrical/Vehicle Equipment,Mechanical or electrical coupling failure between cars
EUDO,Mechanical/Electrical/Vehicle Equipment,Door problems caused by faulty motors or sensors
EUECD,Mechanical/Electrical/Vehicle Equipment,Line mechanic or ECD-related issue needing onsite intervention
EUHV,Mechanical/Electrical/Vehicle Equipment,High-voltage system or circuitry failure
EULT,Mechanical/Electrical/Vehicle Equipment,Interior or exterior train lighting system malfunction
EULV,Mechanical/Electrical/Vehicle Equipment,Low-voltage power or battery supply issues
EUME,Mechanical/Electrical/Vehicle Equipment,Human maintenance error by Rail Cars & Shops staff
EUNEA,Mechanical/Electrical/Vehicle Equipment,Shortage of usable trains or equipment
EUNT,Mechanical/Electrical/Vehicle Equipment,Reported equipment trouble but no defect found
EUO,Mechanical/Electrical/Vehicle Equipment,Miscellaneous Rail Cars & Shops equipment issues
EUOE,Mechanical/Electrical/Vehicle Equipment,Operational error by Rail Cars & Shops staff
EUOPO,Mechanical/Electrical/Vehicle Equipment,OPTO non-train door monitoring failure (RC&S-related)
EUPI,Mechanical/Electrical/Vehicle Equipment,Propulsion or traction power system failure
EUSC,Mechanical/Electrical/Vehicle Equipment,Speed regulation or overspeed detection malfunction
EUTL,Mechanical/Electrical/Vehicle Equipment,Trainline cable or inter-car communication failure
EUTM,Mechanical/Electrical/Vehicle Equipment,Traction motor faults 
EUTR,Mechanical/Electrical/Vehicle Equipment,Bogie/truck issues 
EUTRD,Mechanical/Electrical/Vehicle Equipment,TR-series cab door malfunction
EUVA,Mechanical/Electrical/Vehicle Equipment,Warning alarm systems failing or falsely activating
EUVE,Mechanical/Electrical/Vehicle Equipment,Work vehicle or non-revenue car breakdown
EUYRD,Mechanical/Electrical/Vehicle Equipment,Yard/carhouse operational problems causing delays
MUATC,Signaling/Communication/Power,Delays from the ATC project work or testing
MUCL,Operations/Staffing/Scheduling,Divisional clerk scheduling or paperwork error
MUD,Door/Passenger/Platform Incidents,Passenger interference or obstruction of train doors
MUDD,Door/Passenger/Platform Incidents,Debris caught in doors preventing closure
MUEC,Track/Infrastructure/Debris,Engineering or construction issues not in other categories
MUESA,Operations/Staffing/Scheduling,No operator immediately available (staff shortage)
MUFM,Weather/External,Severe external event (e.g. extreme weather) beyond TTC control
MUFS,Fire/Smoke/Emergency,Fire/Smoke Plan B activated due to an external source
MUGD,Miscellaneous,General or minor unclassified delay
MUI,Medical/Injury/Safety,Ill or injured passenger on train requiring transport
MUIE,Medical/Injury/Safety,Employee injury requiring medical attention
MUIR,Medical/Injury/Safety,Ill passenger on train who refuses medical aid
MUIRS,Medical/Injury/Safety,Ill passenger in station who refuses medical aid
MUIS,Medical/Injury/Safety,Ill passenger in station requiring transport
MULD,Operations/Staffing/Scheduling,Labour dispute or strike action in the subway
MUNOA,Operations/Staffing/Scheduling,No operator available (not emergency absence related)
MUO,Miscellaneous,Other unclassified operational or technical delay
MUODC,Track/Infrastructure/Debris,Overhead door contact or malfunction in yard/facility
MUPAA,Door/Passenger/Platform Incidents,Passenger alarm activated but no actual issue found
