Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2024-01-01,1900-01-01 02:08:00,Monday,DUNDAS STATION,MUPAA,4.0,10.0,N,YU,6051.0
2024-01-01,1900-01-01 02:13:00,Monday,KENNEDY BD STATION,PUTDN,10.0,16.0,E,BD,5284.0
2024-01-01,1900-01-01 02:22:00,Monday,BLOOR STATION,MUPAA,4.0,10.0,N,YU,5986.0
2024-01-01,1900-01-01 02:25:00,Monday,ST CLAIR STATION,MUPAA,3.0,9.0,N,YU,6051.0
2024-01-01,1900-01-01 02:27:00,Monday,WOODBINE STATION,EUDO,7.0,13.0,E,BD,5077.0
2024-01-01,1900-01-01 02:30:00,Monday,DAVISVILLE STATION,MUI,13.0,19.0,N,YU,6051.0
2024-01-01,1900-01-01 02:36:00,Monday,FINCH STATION,MUI,24.0,30.0,S,YU,5931.0
2024-01-01,1900-01-01 02:45:00,Monday,COLLEGE STATION,MUIR,12.0,18.0,N,YU,5816.0
2024-01-01,1900-01-01 03:01:00,Monday,LAWRENCE WEST STATION,SUDP,3.0,9.0,N,YU,5726.0
2024-01-01,1900-01-01 07:57:00,Monday,SHEPPARD WEST STATION,TUNOA,12.0,24.0,N,YU,0.0
2024-01-01,1900-01-01 08:41:00,Monday,EGLINTON STATION,TUNOA,6.0,12.0,N,YU,0.0
2024-01-01,1900-01-01 08:42:00,Monday,SHEPPARD WEST STATION,TUNIP,6.0,12.0,N,YU,6016.0
2024-01-01,1900-01-01 09:09:00,Monday,ST CLAIR STATION,PUOPO,7.0,13.0,S,YU,5811.0
2024-01-01,1900-01-01 09:17:00,Monday,SUMMERHILL STATION,PUOPO,6.0,12.0,S,YU,5811.0
2024-01-01,1900-01-01 10:08:00,Monday,EGLINTON STATION,TUNOA,6.0,12.0,N,YU,0.0
2024-01-01,1900-01-01 11:39:00,Monday,OLD MILL STATION,TUSC,3.0,7.0,E,BD,5291.0
2024-01-01,1900-01-01 14:15:00,Monday,BLOOR STATION,MUIR,12.0,16.0,N,YU,5631.0
2024-01-01,1900-01-01 15:15:00,Monday,LANSDOWNE STATION,MUDD,7.0,11.0,E,BD,5164.0
2024-01-01,1900-01-01 15:38:00,Monday,COLLEGE STATION,MUPAA,4.0,8.0,N,YU,6061.0
2024-01-01,1900-01-01 16:20:00,Monday,ROSEDALE STATION,SUDP,7.0,11.0,S,YU,6086.0
2024-01-01,1900-01-01 20:52:00,Monday,QUEEN STATION,MUPAA,7.0,13.0,S,YU,5861.0
